Start,End,Length
9035535216,7007456682,55465.43208971259
9035535216,6411257077,122251.47113123465
9035535216,2744167688,29209.381505373825
9035535216,4662951474,60463.553219386544
9035535216,7640379218,10801.981782657476
9035535216,10015184757,64220.88561844506
9035535216,2904564194,18981.46892917034
9035535216,7569871999,4844.477830401943
9035535216,6986491205,52362.828623652174
9035535216,1997304533,92084.63698986794
9035535216,4438458884,24061.016895738325
9035535216,3279880062,43366.125903231754
9035535216,4881067131,62330.763090564105
9035535216,3986296552,52827.09892790303
9035535216,2888030981,8028.747366490568
9035535216,12618796699,133553.92117220542
9035535216,10929099699,36311.03181646045
9035535216,4109304214,53494.72047704197
9035535216,2894391581,27339.04398358202
9035535216,3242037793,66355.08191737227
9035535216,10750474166,77465.65982167741
9035535216,6938760206,62682.37348564711
9035535216,9295567475,56073.49403264605
9035535216,4054776682,80190.71624805813
9035535216,10889746917,75579.20760677937
9035535216,2984463321,64852.870034070904
9035535216,9122440043,45691.941001892956
9035535216,7572711474,11212.223339491455
9035535216,7047962665,58382.32613722909
9035535216,11559164697,86495.49596908515
9035535216,4859710963,62010.580294923435
9035535216,2903353964,33098.01731565124
9035535216,4058235944,44012.418978115595
9035535216,3622745404,13352.219364824294
9035535216,9458194779,26611.423407761868
9035535216,4449931334,29394.645161011587
9035535216,8777429758,161337.02144860683
9035535216,1999062750,81547.12934920321
9035535216,9609178763,7142.890014751495
9035535216,3919867076,34206.68518977512
9035535216,11557625709,99920.7352753165
9035535216,3612261690,51136.053945471554
9035535216,9006726513,15819.729888359838
9035535216,9715659576,104629.78885806943
9035535216,4446938619,28078.283324205637
9035535216,2888032096,4731.955130226873
9035535216,8913665102,90652.14916385476
9035535216,2926521252,27364.93162969299
9035535216,3572185465,28709.287352579406
9035535216,4139996237,13892.33189940487
9035535216,2892057095,24777.110221421273
9035535216,4498138639,54156.47056562763
9035535216,8772916218,134487.74858688866
9035535216,4737858710,79065.73666728608
9035535216,2891441335,27063.228681320237
9035535216,11004959020,71045.00107162709
9035535216,3624200010,145999.73418491083
9035535216,3221834818,46042.0560245565
9035535216,4492162998,39159.83300706117
9035535216,3263789888,52708.04188857665
9035535216,5299434039,33336.12096051433
9035535216,3270592259,92021.05463725203
